RelativePath,Date,Time,Species,KakapoID,InteractionRMS,Interaction20R,InteractionRMS2,Interaction20R2,Notes
ABS04, 05-Oct-2023, 03:06:39,Kakapo,Tutoko,Encounter,Consumption,,,
ABS04, 05-Oct-2023, 21:02:26,Kakapo,Tutoko,Encounter,Encounter,,,
ABS05, 03-Oct-2023, 14:40:58,Kakapo,Kohitatea,Encounter,Encounter,,,
CBS01, 02-Oct-2023, 20:49:04,Kakapo,Hakatere,Encounter,Look,,,
CBS01, 03-Oct-2023, 10:03:20,Kakapo,Hakatere,Encounter,Consumption,,,
CBS01, 03-Oct-2023, 10:06:58,Kakapo,Hakatere,Encounter,Encounter,,,Eating lollipop stick
CBS01, 03-Oct-2023, 11:11:42,Kakapo,Hakatere,Encounter,Look,,,
CBS01, 03-Oct-2023, 11:12:18,Kakapo,Hakatere,Encounter,Consumption,,,
CBS01, 03-Oct-2023, 14:41:22,Kakapo,Hakatere,Encounter,Consumption,,,
CBS01, 03-Oct-2023, 18:35:52,Kakapo,Hakatere,Encounter,Consumption,,,
CBS01, 04-Oct-2023, 15:37:54,Kakapo,Hakatere,Encounter,Encounter,,,
CBS01, 04-Oct-2023, 15:38:48,Kakapo,Hakatere,Encounter,Consumption,,,
CBS01, 04-Oct-2023, 16:43:16,Kakapo,Hakatere,Encounter,Consumption,,,
CBS01, 04-Oct-2023, 16:49:02,Kakapo,Hakatere,Encounter,Encounter,,,
CBS02, 05-Oct-2023, 12:46:04,Kakapo,Margaret-Maree,Encounter,Consumption,,,
CBS02, 05-Oct-2023, 15:39:00,Kakapo,Margaret-Maree,Encounter,Look,,,
CBS02, 05-Oct-2023, 18:34:04,Kakapo,Margaret-Maree,Encounter,Consumption,,,
CBS02, 05-Oct-2023, 18:34:06,Kakapo,Margaret-Maree,Encounter,Look,,,
CBS03, 03-Oct-2023, 05:10:10,Kakapo,Wehe-Po,Encounter,Look,,,
CBS03, 03-Oct-2023, 05:11:32,Kakapo,Wehe-Po,Encounter,Encounter,,,
CBS03, 05-Oct-2023, 14:17:58,Kakapo,Wehe-Po,Encounter,Encounter,,,
CBS04, 04-Oct-2023, 09:26:34,Kakapo,Awarua,Encounter,Encounter,,,
CBS04, 04-Oct-2023, 12:03:56,Kakapo,Awarua,Encounter,Touch accidental,,,
CBS04, 05-Oct-2023, 18:55:26,Kakapo,Awarua,Encounter,Touch accidental,,,
CBS05, 04-Oct-2023, 12:53:02,Kakapo,Sue,Encounter,Encounter,,,
CBS06, 03-Oct-2023, 12:47:56,Kakapo,Sue,Encounter,Consumption,,,
CBS06, 04-Oct-2023, 18:52:34,Kakapo,Sue,Encounter,Encounter,None,,
CBS06, 04-Oct-2023, 19:18:46,Kakapo,Sue,Encounter,Encounter,,,
CBS06, 04-Oct-2023, 19:22:12,Kakapo,Kohitatea,Encounter,Encounter,,,
CBS06, 05-Oct-2023, 09:10:02,Kakapo,Sue,Encounter,Consumption,,,Sue?
CBS06, 05-Oct-2023, 10:25:04,Kakapo,Sue,Encounter,Encounter,,,
CBS06, 05-Oct-2023, 11:44:00,Kakapo,Kohitatea,Encounter,Encounter,,,
CBS07, 03-Oct-2023, 14:19:04,Kakapo,Sue,Encounter,Consumption,,,
CBS07, 03-Oct-2023, 14:25:18,Kakapo,Sue,Encounter,Consumption,,,
CBS08, 04-Oct-2023, 16:16:28,Kakapo,Kohitatea,Encounter,Consumption,,,
CBS08, 04-Oct-2023, 16:18:38,Kakapo,Kohitatea,Encounter,Consumption,,,
CBS08, 04-Oct-2023, 16:21:36,Kakapo,Kohitatea,Look,Touch,,,
CBS08, 04-Oct-2023, 16:23:30,Kakapo,Kohitatea,Bite,Encounter,,,
CBS08, 04-Oct-2023, 16:24:04,Kakapo,Kohitatea,Touch accidental,Encounter,,,
CBS08, 04-Oct-2023, 16:24:46,Kakapo,Kohitatea,Touch accidental,Encounter,,,
CBS08, 04-Oct-2023, 16:39:02,Kakapo,Kohitatea,Touch accidental,Encounter,,,
CBS08, 04-Oct-2023, 16:39:40,Kakapo,Kohitatea,Encounter,Encounter,,,
CBS08, 04-Oct-2023, 16:40:30,Kakapo,Kohitatea,Encounter,Consumption,,,
CBS08, 04-Oct-2023, 16:41:16,Kakapo,Kohitatea,Encounter,Consumption,,,
CBS08, 04-Oct-2023, 16:42:10,Kakapo,Kohitatea,Encounter,Consumption,,,
CBS08, 04-Oct-2023, 16:42:44,Kakapo,Kohitatea,Encounter,Encounter,,,
CBS09, 04-Oct-2023, 09:48:50,Kakapo,Kohitatea,Encounter,Encounter,,,
